id,text,title
HU22DM-298527,Delayed start of CID,"preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
* Fahrzeugzustand Kunde nicht im Fahrzeug
* Fahrer steigt ein

expected result/behaviour:
* Welcome Animation wird angezeigt und Kombi und CID sind an

observed result/behaviour:
* Keine Welcome Animation
* Kombi normale Anzeige
* CID bleibt fÃ¼r ca. 20 Sekunden schwarz und startet dann erst

possible impact:
* Kunde irritiert

{color:#41a85f}Englische Version:{color}

preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
* Vehicle status Customer not in the vehicle
* Driver gets in

expected result/behavior:
* Welcome animation is displayed and combination and CID are on

observed result/behavior:
* No welcome animation
* Combination normal display
* CID remains black for approx. 20 seconds and only then starts

possible impact:
* Customer irritated*Head Unit:* MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22;HWEL:9705-005.002.001

*Ecu:* MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22; HWEL:9705-005.002.001"
HU22DM-298516,MGU starts without animation in every lifecycle,"platform (e.g. BBG, FAT, TSP, Simulation,...): G61 VS0

observed behaviour occurs on multiple platforms (yes/no): yes, all 25-07 cars at DGF show same behaviour

observed behaviour occurs in multiple lifecycles (yes/no): yes, every startup

preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
start from bus sleep, nothing special

expected result/behaviour:
start up with STR and animation

observed result/behaviour:
CID stays black in every start up without animation, and shows MMI directly but after >15 seconds
additional case with timestamp in video (attachments)

possible impact:
customer irritated

actions/steps to recover from error:
no recovery

**Head Unit:** MGU_02_L; BMW MGU22;MGU22_24w28.1-1-7;mgu22;HWEL:9703-005.001.006
**Ecu:** MGU_02_L; BMW MGU22;MGU22_24w28.1-1-7;mgu22; HWEL:9703-005.001.006
*"
HU22DM-298500,TK-FIT - Late MGU start due to coldboot,"platform (e.g. BBG, FAT, TSP, Simulation,...):
G81

observed behaviour occurs on multiple platforms (yes/no):
?
observed behaviour occurs in multiple lifecycles (yes/no):
yes
preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
Park vehicle for 30 minutes, start vehicle immediately after entering it

expected result/behaviour:
CID shows immediately some content

observed result/behaviour:
CID stayed black for about 20 seconds.
According to traces a coldboot was executed at this time.

possible impact:
Customer is annoyed by bad performance

actions/steps to recover from error:
none

test case reference:
**Head Unit:** MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22;HWEL:9705-005.002.001
**Ecu:** MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22; HWEL:9705-005.002.001
*"
HU22DM-298499,Delayed startup CID,"platform (e.g. BBG, FAT, TSP, Simulation,...):

G26 BEV test drive

observed behaviour occurs on multiple platforms (yes/no): no
observed behaviour occurs in multiple lifecycles (yes/no): no

preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
unlock the car
start test drive

expected result/behaviour:
Welcome screen appears

observed result/behaviour:
No welcome screen and a delayed start up of the CID

possible impact:

actions/steps to recover from error:

test case reference:*Head Unit:* MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22;HWEL:9705-005.002.001

*Ecu:* MGU_02_L; BMW MGU22;MGU22_H_24w27.5-1-2;mgu22; HWEL:9705-005.002.001"
HU22DM-298496,Wrong STR budget is getting renewed automatically,"*Artifactory path:*{color:#0747a6} [https://apinext.artifactory.cc.bmwgroup.net/ui/native/apinext-nightly-local/24w28.7-2/bmw_idc23-mainline/user]{color}_x005F_x000D_
_x005F_x000D_
*PDX:* Â [bmw_idc23-mainline-pdx_user-24w28.7-2-nodex_IDC23_24w28.4-1-4.tar.gz|https://apinext.artifactory.cc.bmwgroup.net/ui/native/apinext-nightly-local/24w28.7-2/bmw_idc23-mainline/user/bmw_idc23-mainline-pdx_user-24w28.7-2-nodex_IDC23_24w28.4-1-4.tar.gz]_x005F_x000D_
_x005F_x000D_
*Details:*_x005F_x000D_
_x005F_x000D_
FA - G45_x005F_x000D_
_x005F_x000D_
VIN -Â WBY21CF090HY03128_x005F_x000D_
_x005F_x000D_
Hardware - IDC23_High(D2 sample) ROW HW 5.2.1_x005F_x000D_
_x005F_x000D_
AZV Display - AZV mid (5A43051-01)_x005F_x000D_
_x005F_x000D_
S-HUD: 5A4D984-01_x005F_x000D_
_x005F_x000D_
Â *Occurrence rate*Â - 3/3_x005F_x000D_
_x005F_x000D_
Â *Precondition-*_x005F_x000D_
Above mentioned mainline build is flashed_x005F_x000D_
_x005F_x000D_
Â _x005F_x000D_
_x005F_x000D_
*Steps to reproduce:*_x005F_x000D_
 * STR Budget is first set to 0Â _x005F_x000D_
 * Give PWF state as PAD via ediabus tool_x005F_x000D_
 * STR budget is set to 38250_x005F_x000D_
 * GIVE PWF state as Wohnen_x005F_x000D_
_x005F_x000D_
*Observed behavior:*_x005F_x000D_
 * STR budget automatically changes to 66826319._x005F_x000D_
_x005F_x000D_
Â _x005F_x000D_
_x005F_x000D_
*Expected behavior:*_x005F_x000D_
_x005F_x000D_
STR budget should not change automatically_x005F_x000D_
_x005F_x000D_
Time: 16:14h CET_x005F_x000D_
_x005F_x000D_
{*}Date{*}- 17/07/2024"
HU22DM-298287,[IDC23] [ML] [Automation] High Current Occurred During STR Lifecycle Automation ,"*Environment:*
BCP test rackÂ 
Build on target: IDC23 mainline-24w28.3-1
U25 derivative.

*Special IOC:*Â No

*Derivative:*Â U25

*Precondition:*
1. IDC should be up and in PAD state (Engineering Mode).
2. STR activated.

*Steps:*
1. Give Life cycle: Parken-->Wohnen/PAD (for multiple iteration)

*Expected behavior:*
1. Vehicle should recognize PWF state.
2. Resume No should be increased up to 0 to 159 after that coldboot occur.
3. No crash should occur.

*Observed behavior:*

High current occurred: 13mA -17mA
{code:java}
490977 2024/07/17 02:20:58.756000 20628.5432 77 IOC SMC Â 4097 log info non-verbose 0 [1] Â LPM 30B:<13573 mV> 30F:<13219 mV> STR:<17 mA> Budget:<5615814 mAh>|4c 50 4d 20 33 30 42 3a 3c 31 33 35 37 33 20 6d 56 3e 20 33 30 46 3a 3c 31 33 32 31 39 20 6d 56 3e 20 53 54 52 3a 3c 31 37 20 6d 41 3e 20 42 75 64 67 65 74 3a 3c 35 36 31 35 38 31 34 20 6d 41 68 3e
564588 2024/07/17 02:47:33.338000 22221.5430 143 IOC SMC Â 4097 log info non-verbose 0 [1] Â LPM 30B:<13564 mV> 30F:<13210 mV> STR:<16 mA> Budget:<5615794 mAh>|4c 50 4d 20 33 30 42 3a 3c 31 33 35 36 34 20 6d 56 3e 20 33 30 46 3a 3c 31 33 32 31 30 20 6d 56 3e 20 53 54 52 3a 3c 31 36 20 6d 41 3e 20 42 75 64 67 65 74 3a 3c 35 36 31 35 37 39 34 20 6d 41 68 3e
678224 2024/07/17 03:27:57.066000 1816.4449 126 IOC SMC Â 4097 log info non-verbose 0 [1] Â LPM 30B:<13564 mV> 30F:<13210 mV> STR:<15 mA> Budget:<5615976 mAh>|4c 50 4d 20 33 30 42 3a 3c 31 33 35 36 34 20 6d 56 3e 20 33 30 46 3a 3c 31 33 32 31 30 20 6d 56 3e 20 53 54 52 3a 3c 31 35 20 6d 41 3e 20 42 75 64 67 65 74 3a 3c 35 36 31 35 39 37 36 20 6d 41 68 3e
700507 2024/07/17 03:34:58.583000 160.9553 242 IOC SMC Â 4097 log info non-verbose 0 [1] Â LPM 30B:<13609 mV> 30F:<13325 mV> STR:<17 mA> Budget:<5615997 mAh>|4c 50 4d 20 33 30 42 3a 3c 31 33 36 30 39 20 6d 56 3e 20 33 30 46 3a 3c 31 33 33 32 35 20 6d 56 3e 20 53 54 52 3a 3c 31 37 20 6d 41 3e 20 42 75 64 67 65 74 3a 3c 35 36 31 35 39 39 37 20 6d 41 68 3e {code}
*Occurred:* 32/320
*Attachment:[^17-7-24_porto_idc23_ML24w28.7-2_ioc.dlt.7z]
[^17-7-24_porto_idc23_ML24w28.7-2_iter2A.dlt.7z][^17-7-24_porto_idc23_ML24w28.7-2_iter2B.dlt.7z]
*"
HU22DM-298253,Black CID after bus rest and immediate departure with RFK - Focus: Cold Boot,"platform (e.g. BBG, FAT, TSP, Simulation,...):
FIT U11 PHEV
observed behaviour occurs on multiple platforms (yes/no):
NO
observed behaviour occurs in multiple lifecycles (yes/no):
NO
preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):

Customer park his car. But he has to move his vehicle quickly. He gets in without waiting for the IDC to start up and drives backwards.
Customer is main user and a linked to the profile digital key ( IPhone and apple watch ) is installed and by the driver.

expected result/behaviour:

No Black CID after leaving RFK ( Early video )

observed result/behaviour:

RFK ist starting up in CID and the early video is displayed when he moves backwards.
Driver stop and drive forward ( Early video is also displayed ) after some seconds the early video is not longer displayed and the CID goes black.
After 13 seconds the CID start up, while starting to install the profile the CID goes shortly black again. After this the CID start correctly up and is usable.

possible impact:

Customer upset, can not use the system

actions/steps to recover from error:

Nothing, self healing

test case reference:
**Head Unit:** MGU_02_A; BMW IDC23;pu2411-24w25.7-2-nodex_IDC23_H_24w25.4-1-3-nodex_IDC23_H_24w25.4-1-3;idc23;HWEL:7D84-005.002.001
**Ecu:** MGU_02_A; BMW IDC23;pu2411-24w25.7-2-nodex_IDC23_H_24w25.4-1-3-nodex_IDC23_H_24w25.4-1-3;idc23; HWEL:7D84-005.002.001
*"
HU22DM-298019,Production Car_Error at B_DATA: WRITE_FA_TO_BACKUP: Problem with the PSdZ vehicle connection or the PSdZ system configuration is incorrect. ECU is not readable. (PSdZ ID: 433),"*platform (e.g. BBG, FAT, TSP, Simulation,...)**:*

U12 production vehicle.

*observed behaviour occurs on multiple platforms (yes/no):*

As of the time the problem was reported, the behaviour of the problem has only been observed on a single platform(vehicle). But it doesn't mean the issue will never be reproduced on other platforms (vehicles). Also, there is a potential possibility that the failure mode of the behaviour of the problem was not effectively triggered on other platforms (vehicles), or that the problem was not noticed by the driver, so it was mistaken that the observed behaviour only occurs on a single platform (vehicle).

*observed behaviour occurs in multiple lifecycles (yes/no):*

As of the time the problem was reported, the behaviour of the problem has only been observed on a single lifecycle. But it doesn't mean the issue will never be reproduced on other lifecycles. Also, there is a potential possibility that the failure mode of the behaviour of the problem was not effectively triggered on other lifecycles, or that the problem was not noticed by the driver, so it was mistaken that the observed behaviour only occurs on a single lifecycle.

*preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances)**:*

At about 2024-07-01T22:33:29, at B_DATA, the CASCADE reported errors:

_____________________________________________________________________________

PSDZ.VCM_WRITE

SGBD    : VCM_BACKUP, Addr.: 0x63    Job    :

Erg    : STATUS    Ist    : NOT OKAY

Fehlertext    : WRITE_FA_TO_BACKUP: Problem with the PSdZ vehicle connection or the PSdZ system configuration is incorrect. ECU is not readable. Error cause: job failed with job failed with negative response error: code: service returned global negative response description: Service WDBI_FA1_SP21 returned a negative response with response code requestOutOfRange; LinkName: VCM_BACKUP_HU_MGU2_ETHERNET severity: ERROR , (PSdZ ID: 433)

_____________________________________________________________________________

At about 2024-07-01T23:06:35, execute B_DATA again, but still not success.

The vehicle was sent to F1 rework station.

At about 2024-07-02T00:00:08, execute B_DATA at F1 rework CASCADE station, this time the B_DATA job finished without error.

The file name of the internal traces are at time zone GMT0, but local time zone is GMT+8.

*expected result/behaviour**:*

B_DATA executed successfully.

*observed result/behaviour**:*

Error at B_DATA: WRITE_FA_TO_BACKUP: Problem with the PSdZ vehicle connection or the PSdZ system configuration is incorrect. ECU is not readable. (PSdZ ID: 433)

*possible impact**:*
Customer complaints; Buildability Obstruction; Re-work.

*actions/steps to recover from error**:*

At about 2024-07-02T00:00:08, execute B_DATA at F1 rework CASCADE station, this time the B_DATA job finished without error.

*test case reference**:*

Timestamp: 2024-07-01T22:33:29

Email: [Ce.Sun@bmw-brilliance.cn|mailto:Ce.Sun@bmw-brilliance.cn]

=== end of error description ===
"
HU22DM-297185,0xA7631B - System Health: Resetfehler IOController,"platform (e.g. BBG, FAT, TSP, Simulation,...):

WBY61EF06S5037540, U011, U006-24-07-525, BEV

preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances):
 plant diagnosis

expected result/behaviour:

no dtc



observed result/behaviour:



----------------------------------------------------------------------------------------------

SteuergerÃ¤t        :           63  HEADUNIT - MGU_02_A - HEAD UNIT - MEDIA GRAPHICS UNIT HU-MGU_02_A

Job Status         :               OKAY

Fehlerort          :     10969883  0xA7631B - System Health: Resetfehler IOController

Readyness Flag     :           16  Testbedingungen erfÃ¼llt

Fehler vorhanden   :           77  Fehler gespeichert

Warnung Flag       :          128  Fehler wÃ¼rde kein Aufleuchten einer Warnlampe verursachen

F Ãœberlauf         :            0

Fehlerklasse       :         1024  ECU-Softwarefehler

HÃ¤ufigkeitszÃ¤hler  :            1

HeilungszÃ¤hler     :           27

Statusbyte         :          06D

1. Datensatz

Umwelt Anzahl      :            0

Umwelt Kilometer   :            1

Umwelt Meter       :        1.096

Umwelt Km insync   :            1

Umweltbedingung BN :           -1

Umweltbedingung TN :           -1

Umwelt Zeit        :        20734  05.07.2024 10:53:23

Umwelt Zeit ms     :          410

Umwelt Zeit Supreme:    20734.410  05.07.2024 10:53:23,018

Umwelt Zeit Insync :            1

Zeit Sync Methode  :            0

Sync Methode Info  :               RelativeTime

Zeit User Info     :               insync, ms ECU overall, not comparable

possible impact:

customer irritated.



actions/steps to recover from error:

new LC



test case reference:


=== end of error description ===
"
HU22DM-296893,Significantly delayed startup of the CID. Approx. 10 seconds after in the 1st and 3rd Lifecycle,"*platform (e.g. BBG, FAT, TSP, Simulation,...):*
* Vehicle should be flashed with H_24w28.4-1
* Vehicle should have active online/backend connection
* Provisioning should be work properly

*preconditions and actions (e.g. coding, route-url for navigation errors, weather/environmental circumstances)*
* Vehicle should be logged in with BMW Drive ID
* Perform a new LC

*expected result/behaviour:*
* After perfoming a new LC, CID should be startup immediately

*observed result/behaviour:*
* Significantly delayed startup of the CID. Approx. 10 seconds after in the 1st and 3rd Lifecycle.

*Timestamp: 19:25h und 20:41h, 11.07.2024*

MGU_22

*24-11*

{color:#000000}555432 CP43796 (PROD){color}

G60

{color:#000000}MGU_22                             H_24w28.4-1{color}

{color:#000000}IC-G5-BOX                          012.013.160{color}

{color:#000000}RAM                                    020.030.003{color}

{color:#000000}WAVE 01_High                  011.149.062{color}

Brian-Link:*&#92;&#92;smb-tdaas-0150a.bmwgroup.net&#92;brian-prod&#92;CoC_22_IDC&#92;G060&#92;CP43796&#92;20240711_2101&#92;xoraya_000585&#92;converted*

*end of description*
"
