entity_graph
"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">
  <key id=""d6"" for=""edge"" attr.name=""source_id"" attr.type=""string"" />
  <key id=""d5"" for=""edge"" attr.name=""description"" attr.type=""string"" />
  <key id=""d4"" for=""edge"" attr.name=""weight"" attr.type=""double"" />
  <key id=""d3"" for=""node"" attr.name=""entity_type"" attr.type=""string"" />
  <key id=""d2"" for=""node"" attr.name=""source_id"" attr.type=""string"" />
  <key id=""d1"" for=""node"" attr.name=""description"" attr.type=""string"" />
  <key id=""d0"" for=""node"" attr.name=""type"" attr.type=""string"" />
  <graph edgedefault=""undirected"">
    <node id=""&quot;0XA7631B&quot;"">
      <data key=""d0"">""SYSTEM""</data>
      <data key=""d1"">""0xA7631B is a system that has encountered an error in its IOController."") (""entity""
""0xA7631B is a code associated with the MGU_02_A system, potentially used for identification or troubleshooting purposes.""
""0xA7631B is a system that has encountered an error in its IOController."") (""entity""
""0xA7631B is a code or identifier associated with the entity G45, but its significance is unclear.""
""0xA7631B is a system that has experienced an unexpected IOC reset, which may indicate a hardware or software issue.""
""0xA7631B is a specific DTC code related to the System Health of the IDC23 Series Car.""
""0xA7631B is a code associated with the MGU_02_A system, potentially used for identification or troubleshooting purposes.""
""0xA7631B is a system that has encountered an error in its IOController."") (""entity""</data>
      <data key=""d2"">4f26e5bc6bd5e9442a1a4d314a03df37,715db73f84b8a5a9940736074cb66002,74b9e62910bd230078c62bb08f4f4539,a1838f9de5474cd63c332cdc1b221da5,b31989d3d895ae57672b9996ec1ee43f,bb3cb72da8330639bfff06929672c3e3,c529191df0e8772450857333daea1000,c5d0eac05f45e3d69f8a70fee50bae95</data>
    </node>
    <node id=""&quot;APIX CHIP MANUFACTURER&quot;"">
      <data key=""d0"">""OCCUPATION""</data>
      <data key=""d1"">""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
""APIX Chip Manufacturer is the job title of individuals who produce the APIX Chip.""
