source,target,weight,description,text_unit_ids,id,human_readable_id,source_degree,target_degree,rank
"""0XA7631B""","""RESET_REASON_BOD_VDDD""",1.0,"""The system reset occurred due to an unexpected voltage drop in the power supply.""",['b31989d3d895ae57672b9996ec1ee43f'],e095cc36da784300b27c6f8c60a96440,0,3,1,4
"""0XA7631B""","""IOCONTROLLER""",1.0,"""The IOController malfunctioned, causing the system reset.""",['b31989d3d895ae57672b9996ec1ee43f'],c68893ca39d74ba08c6eb138f24441e1,1,3,2,5
"""0XA7631B""","""IDC23 SERIES CAR""",1.0,"""The IDC23 Series Car has a specific DTC code 0xA7631B."")<|COMPLETE|> (""entity""",['a1838f9de5474cd63c332cdc1b221da5'],472b23bb92834173b4118d101040c726,2,3,5,8
"""GBIT ETH LINK""","""MGU22""",1.0,"""There is no GBIT ETH Link from MGU22 to WAVE, causing the error.""",['78694c2f02a78b42f413d98bcc76e527'],81869985b45a4fefbbbb23ea118a3de4,3,1,6,7
"""MGU22""","""SIGNALGATEWAY.SERVICE""",1.0,"""The event MGU22 resulted in the restart of the signalgateway.service.""",['211397562072e865dcde9c2fafb534b5'],42b8584c5a874eb08fbd61f0c18f3ca0,4,6,1,7
"""MGU22""","""CCM EMERGENCY CALL SYSTEM""",1.0,"""The emergency call system has failed at MGU22, requiring attention from the organization.""",['c972662ec0a96c9ac366df01191fcba3'],824d93d9840a4b7c8b1f31bc6816b497,5,6,1,7
"""MGU22""","""LAST_IOC_RESET_REASON_WAKEUP""",1.0,"""The reason for the emergency call system failure at MGU22 is LAST_IOC_RESET_REASON_WAKEUP.""",['c972662ec0a96c9ac366df01191fcba3'],f209a808f1f04a5699601e672f4abd06,6,6,1,7
"""MGU22""","""LIFECYCLE-RTC""",1.0,"""MGU22 is being monitored by the Lifecycle-RTC system.""",['f34047ed9be957245be11e9ab8df28bb'],ccb335166f6c4564ac1c61549d8ded50,7,6,4,10
"""MGU22""","""SHUTDOWN_STR_EXIT_OFF""",1.0,"""The event MGU22 occurred due to the command or action SHUTDOWN_STR_EXIT_OFF."")<|COMPLETE|> (""entity""",['13c46de65b7e974b827b668b96bc054b'],cbe1a41a82aa4f268e8264568b25938f,8,6,1,7
"""WAVE""","""ECALL CCM""",1.0,"""Both devices or systems are not functioning, as suggested by the text.""",['f329c668191e3367609b7bc41cdc48a0'],28e7639f55ce464c8a080cbb2c745fa2,9,1,2,3
"""PADI""","""LOGICAL CONTROL (LC)""",1.0,"""The cessation of Logical Control indicates a problem with the automated control system within PaDi.""",['45a47bb0690d91ed05f85dad1776bc56'],3f3a2d7aa1294116814f0b4d89baa23d,10,2,1,3
"""PADI""","""DATA LINK TERMINAL (DLT)""",1.0,"""The halt in Data Link Terminal logs suggests a broader system failure or shutdown affecting PaDi.""",['45a47bb0690d91ed05f85dad1776bc56'],3073b33926bd4f33807ffa3befacefaf,11,2,1,3
"""IOC ALIVE COUNTER""","""MGU SWITCH""",1.0,"""Both devices appear to be inactive, as indicated by the text.""",['f329c668191e3367609b7bc41cdc48a0'],2b916117691c4872a9c4e4888d4fe4ab,12,1,1,2
"""ECALL CCM""","""INTERNET FUNCTIONS""",1.0,"""Both eCall CCM and internet functions have been lost during startup, affecting the functionality of the system."")<|COMPLETE|> (""entity""",['efed2f5ad92d570897eac4d86d0b1a3e'],1f7b02bf486e4f42b23e9cb1a63207f3,13,2,1,3
"""BLACK SCREEN""","""WEEKEND TEST DRIVE""",1.0,"""The black screen problem occurred during the weekend test drive.""",['80fd6c58091eb31c0a8e40a0b27473bd'],e744c118ae7f4638a01d060bbaedd6e9,14,1,1,2
"""BLACK SCREEN KOMBI""","""LIFE CYCLE""",1.0,"""The Black Screen Kombi has experienced a Life Cycle, which includes various stages such as creation and destruction.""",['413508076503ffc1791365f31de7f406'],e1c1080c717d437996def1a41772d179,15,1,1,2
"""IDC23""","""HU""",1.0,"""IDC23 and HU are involved in the crash of the Ethereum service.""",['9c0f0dd4c99b02f2563aa2d10aec7236'],63fba9a7c47a4f14ac0bee6bc90d0fea,16,13,8,21
"""IDC23""","""LIFECYCLE-RTC""",1.0,"""The LifeCycle-RTC event occurs at IDC23.""",['2045a423d7ec0e6b18300c4009b51f97'],6bfc2395b4f54a528a1ebac94a43acb8,17,13,4,17
"""IDC23""","""STR STATE""",1.0,"""The IDC23 organization is located in the STR State."")<|COMPLETE|> (""entity""",['06339417dd129043f8102316e372f97b'],1cce5cebf437428eb1a60dffbdfa603f,18,13,2,15
"""IDC23""","""APIX CHIP""",1.0,"""IDC23 is associated with the APIX Chip due to its malfunction.""",['2701318aa6b7a9afac87cdf7f06be4fa'],dc94039d6643460ca3c66150b9087129,19,13,2,15
"""IDC23""","""LIFECYCLE""",1.0,"""The specific location or device IDC23 is part of the overall lifecycle of the system.""",['d58af2774383a48d5ddffee5074893a6'],f197d75f159943f8a3ff441199790bc7,20,13,5,18
